Segment name,Longitude,Latitude,Length(km),Width(km),Strike(◦),Dip(◦)
S.Amanos,36.204930,36.265216,104,20,25,90
N.Amanos,36.668276,37.124694,40,20,35,90
Pazarcık,36.895917,37.415278,50,20,64,90
Pazarcık,37.399309,37.620637,34,20,50,90
Erkenek,37.668186,37.820997,50,20,69,90
Pütürge,38.196738,37.987298,58,20,63,90
İzci,38.318033,38.037183,20,20,79,90
Narlı,37.129175,37.337908,14,20,20,90
Savrun,36.520130,38.005252,28,20,74,110
Cardak,36.824423,38.080845,70,20,102,110
Gök_Hill,37.607312,37.961607,24,20,59,90
Sögüt,37.839693,38.075523,46,20,54,90
Yesilköy,36.728407,37.898674,18,20,0,130
